Name,"Level ",Type,Type of skill
Adobe Illustrator,Advance,Software,
Adobe Lightroom,Intermediate,Software,
Adobe Photoshop,Beginner,Software,
Figma,Beginner,Software,
Adobe Indesign,Intermediate,Software,
Time Management,,Expertise,Soft skill
Motivation,,Expertise,Soft skill
"Communication ",,Expertise,Soft skill
Attention to detail,,Expertise,Soft skill
Leadership,,Expertise,Soft skill
Teamwork,,Expertise,Soft skill
Flexibility and adaptability,,Expertise,Soft skill
Receptiveness to Feedback,,Expertise,Soft skill
,,Expertise,
Language 2,B2,Language,
Language 1,C2,Language,
Language 3,A1,Language,
Adobe Express,Advance,Software,
HTML/CSS,Beginner,Software,
Adobe Premier Rush,Beginner,Software,
